SN2004gs 0.027498 129.597 17.6277
filter uCSP3014
53398.17012 19.471 0.045
53400.12903 19.55 0.032
53403.15337 19.644 0.017
53406.16067 19.703 0.016
53407.18226 19.728 0.023
53408.16589 19.785 0.016
53409.16199 19.804 0.021
53410.17931 19.856 0.019
53411.16352 19.827 0.022
53412.15753 19.846 0.024
53415.15713 19.97 0.017
53416.18189 20.001 0.018
53417.1419 20.053 0.027
53418.13998 20.026 0.027
53419.20565 20.013 0.029
53420.14439 20.142 0.055
53421.18429 20.08 0.115
53424.13347 20.347 0.173
53425.1161 20.306 0.13
53426.12329 20.321 0.082
53427.11171 20.123 0.064
53428.06492 20.186 0.18
53429.07857 20.326 0.038
53432.18089 20.333 0.044
53444.07251 20.585 0.03
53445.07448 20.686 0.033
53446.07116 20.688 0.051
53455.06419 20.834 0.158
53461.02601 21.017 0.057
filter gCSP3014
53352.33138 17.291 0.01
53353.30048 17.201 0.006
53356.32257 17.112 0.007
53357.26423 17.128 0.007
53361.25185 17.347 0.009
53362.25899 17.431 0.009
53363.28045 17.526 0.009
53365.24264 17.722 0.016
53369.26532 18.119 0.108
53372.24282 18.614 0.017
53373.27954 18.784 0.018
53376.29498 19.089 0.017
53377.22471 19.18 0.019
53380.25499 19.396 0.03
53381.23719 19.493 0.024
53383.25416 19.601 0.027
53384.20618 19.721 0.081
53385.24569 19.815 0.026
53386.22266 19.774 0.023
53387.23879 19.89 0.034
53388.22415 19.847 0.03
53389.19151 19.912 0.036
53390.18118 19.943 0.073
53391.14211 19.952 0.081
53392.17681 20.074 0.104
53398.17012 20.059 0.072
53400.12903 20.176 0.039
53403.15337 20.228 0.02
53406.16067 20.308 0.019
53407.18226 20.319 0.019
53408.16589 20.34 0.019
53409.16199 20.336 0.024
53410.17931 20.36 0.017
53411.16352 20.349 0.02
53412.15753 20.36 0.022
53415.15713 20.417 0.017
53416.18189 20.438 0.021
53417.1419 20.445 0.018
53418.13998 20.439 0.025
53419.20565 20.504 0.021
53427.11171 20.572 0.066
53429.07857 20.673 0.071
53432.18089 20.699 0.039
53444.07251 20.872 0.025
53445.07448 20.927 0.032
53446.07116 20.959 0.045
53461.02601 21.157 0.038
filter rCSP3014
53352.33138 17.204 0.009
53353.30048 17.12 0.007
53356.32257 17.01 0.007
53357.26423 17.002 0.007
53361.25185 17.059 0.008
53362.25899 17.12 0.009
53363.28045 17.183 0.01
53365.24264 17.289 0.012
53372.24282 17.614 0.009
53373.27954 17.66 0.009
53376.29498 17.823 0.01
53377.22471 17.848 0.011
53380.25499 18.177 0.023
53383.25416 18.431 0.021
53384.20618 18.523 0.025
53385.24569 18.553 0.013
53386.22266 18.62 0.014
53387.23879 18.668 0.017
53388.22415 18.691 0.017
53389.19151 18.736 0.019
53390.18118 18.77 0.026
53391.14211 18.868 0.03
53392.17681 18.863 0.033
53393.22352 18.834 0.062
53394.22991 18.969 0.056
53398.17012 19.097 0.027
53400.12903 19.153 0.015
53403.15337 19.264 0.011
53406.16067 19.38 0.013
53407.18226 19.361 0.014
53408.16589 19.433 0.014
53409.16199 19.462 0.012
53410.17931 19.524 0.013
53411.16352 19.563 0.017
53412.15753 19.594 0.02
53415.15713 19.684 0.014
53416.18189 19.726 0.017
53417.1419 19.756 0.016
53418.13998 19.81 0.019
53419.20565 19.854 0.019
53420.14439 19.802 0.096
53425.1161 19.964 0.065
53426.12329 20.102 0.06
53427.11171 20.104 0.045
53429.07857 20.186 0.072
53432.18089 20.302 0.036
53444.07251 20.675 0.032
53445.07448 20.755 0.033
53446.07116 20.812 0.045
53455.06419 21.067 0.143
53461.02601 21.356 0.063
filter iCSP3014
53352.33138 17.397 0.02
53353.30048 17.378 0.009
53356.32257 17.402 0.01
53357.26423 17.414 0.01
53361.25185 17.567 0.013
53362.25899 17.651 0.014
53363.28045 17.731 0.015
53365.24264 17.836 0.017
53372.24282 17.868 0.013
53373.27954 17.865 0.014
53376.29498 17.876 0.014
53377.22471 17.882 0.014
53380.25499 18.11 0.036
53381.23719 18.1 0.13
53383.25416 18.386 0.048
53384.20618 18.501 0.022
53385.24569 18.578 0.018
53386.22266 18.662 0.019
53387.23879 18.75 0.032
53388.22415 18.728 0.027
53389.19151 18.81 0.031
53390.18118 18.93 0.036
53391.14211 18.975 0.036
53392.17681 18.982 0.051
53398.17012 19.243 0.036
53400.12903 19.383 0.03
53403.15337 19.471 0.018
53406.16067 19.591 0.02
53407.18226 19.632 0.021
53408.16589 19.674 0.024
53409.16199 19.687 0.022
53410.17931 19.734 0.026
53411.16352 19.779 0.033
53412.15753 19.876 0.032
53415.15713 19.894 0.022
53416.18189 19.996 0.034
53417.1419 19.981 0.026
53418.13998 20.021 0.035
53419.20565 20.008 0.045
53420.14439 20.105 0.047
53424.13347 20.228 0.121
53425.1161 20.252 0.116
53426.12329 20.286 0.066
53427.11171 20.419 0.079
53432.18089 20.457 0.073
53444.07251 20.971 0.063
53445.07448 20.884 0.06
53446.07116 21.051 0.086
53455.06419 21.125 0.151
53461.02601 21.376 0.093
filter YCSP3014
53362.25899 17.651 0.014
53363.28045 17.683 0.015
53366.26744 17.667 0.015
53374.25278 17.337 0.013
53375.25365 17.276 0.022
53378.2795 17.163 0.021
53385.24569 17.507 0.013
53388.22415 17.724 0.013
53390.18118 17.88 0.022
53393.22352 18.019 0.02
53404.18979 18.591 0.021
53413.14535 18.995 0.032
filter JCSP3014
53362.25899 17.9 0.016
53363.28045 17.986 0.04
53366.26744 18.306 0.018
53374.25278 18.228 0.024
53375.25365 18.205 0.03
53378.2795 18.104 0.032
53385.24569 18.592 0.027
53388.22415 18.867 0.037
53390.18118 19.026 0.032
53404.18979 20.174 0.081
53413.14535 20.387 0.128
filter HCSP3014
53363.28045 17.667 0.039
53366.26744 17.812 0.028
53374.25278 17.557 0.034
53375.25365 17.53 0.034
53378.2795 17.716 0.043
53385.24569 18.128 0.034
53388.22415 18.392 0.05
53390.18118 18.5 0.053
53404.18979 19.234 0.129
53413.14535 19.586 0.092
