SN2006mr 0.005508 50.6792916666667 -37.2081
filter uCSP9844
54071.15779 16.964 0.014
54073.21282 17.038 0.011
54076.20914 17.158 0.01
54080.25767 17.28 0.012
54084.16336 17.487 0.023
54087.11973 17.551 0.031
54092.15775 17.804 0.046
54096.14568 17.887 0.019
54099.11396 17.972 0.015
54100.13156 17.923 0.013
54104.21454 18.066 0.018
54106.14052 18.11 0.016
54108.14292 18.221 0.026
54110.08657 18.247 0.029
54118.16719 18.547 0.025
54123.11705 18.664 0.027
54127.17801 18.87 0.033
54130.05575 18.938 0.033
54133.09138 18.936 0.035
54136.1166 19.101 0.034
54143.05057 19.448 0.065
54147.05626 19.749 0.069
filter rCSP9844
54046.16501 15.473 0.007
54048.29948 14.881 0.004
54049.20598 14.702 0.013
54052.24351 14.411 0.016
54056.23198 14.497 0.008
54060.25838 14.901 0.014
54065.24617 15.471 0.011
54066.31424 15.572 0.009
54068.25035 15.723 0.016
54071.15779 15.964 0.013
54073.21282 16.111 0.009
54076.20914 16.309 0.009
54080.25767 16.569 0.011
54084.16336 16.822 0.013
54087.11973 16.973 0.026
54092.15775 17.26 0.029
54096.14568 17.58 0.029
54099.11396 17.698 0.018
54100.13156 17.76 0.021
54104.21454 17.987 0.024
54106.14052 18.118 0.024
54108.14292 18.182 0.037
54110.08657 18.316 0.062
54118.16719 18.923 0.063
54123.11705 18.919 0.055
54127.17801 19.125 0.083
54130.05575 19.418 0.084
54133.09138 19.637 0.095
54136.1166 19.566 0.079
54143.05057 19.952 0.114
54147.05626 20.198 0.127
filter iCSP9844
54046.16501 15.473 0.008
54048.29948 14.95 0.006
54049.20598 14.808 0.011
54052.24351 14.538 0.013
54056.23198 14.529 0.008
54060.25838 14.819 0.015
54065.24617 15.321 0.013
54066.31424 15.431 0.009
54068.25035 15.56 0.014
54071.15779 15.815 0.018
54073.21282 15.943 0.012
54076.20914 16.147 0.016
54080.25767 16.382 0.011
54084.16336 16.575 0.012
54087.11973 16.711 0.025
54092.15775 16.959 0.028
54096.14568 17.072 0.021
54099.11396 17.18 0.018
54100.13156 17.242 0.014
54104.21454 17.355 0.022
54106.14052 17.429 0.021
54108.14292 17.497 0.035
54110.08657 17.556 0.033
54118.16719 17.722 0.037
54123.11705 17.878 0.038
54130.05575 18.109 0.039
54133.09138 18.187 0.039
54136.1166 18.258 0.044
54143.05057 18.493 0.058
54147.05626 18.731 0.061
filter YCSP9844
54047.17675 14.747 0.009
54049.20598 14.444 0.005
54053.28772 14.044 0.01
54057.12991 14 0.006
54063.27273 14.309 0.018
54067.2856 14.656 0.016
54070.27655 14.988 0.013
54072.22051 15.159 0.022
54073.21282 15.309 0.007
54077.2498 15.573 0.016
54082.23068 15.957 0.02
54086.20927 16.182 0.02
54090.11471 16.378 0.022
54093.18824 16.523 0.019
54098.18501 16.76 0.023
54103.20149 16.915 0.024
54107.09934 17.098 0.031
54109.1661 17.093 0.031
54111.2058 17.261 0.03
54114.16843 17.312 0.057
54128.09281 18.152 0.023
54137.07008 18.489 0.029
filter JCSP9844
54047.17675 14.687 0.024
54049.20598 14.312 0.017
54053.28772 13.98 0.017
54057.12991 14.131 0.01
54063.27273 14.796 0.016
54067.2856 15.518 0.019
54070.27655 15.97 0.022
54072.22051 16.272 0.026
54073.21282 16.306 0.014
54077.2498 16.833 0.043
54082.23068 17.4 0.087
54086.20927 17.779 0.107
54137.07008 20.37 0.129
filter HCSP9844
54047.17675 14.597 0.022
54049.20598 14.176 0.034
54053.28772 13.901 0.006
54057.12991 13.907 0.019
54063.27273 14.434 0.014
54067.2856 14.955 0.016
54070.27655 15.399 0.027
54072.22051 15.543 0.025
54073.21282 15.646 0.021
54077.2498 16.043 0.046
54082.23068 16.351 0.061
54086.20927 16.619 0.076
54090.11471 16.898 0.057
54093.18824 17.027 0.073
54103.20149 17.578 0.115
54107.09934 17.704 0.123
54111.2058 18.141 0.271
54120.10616 18.624 0.379
54128.09281 18.895 0.095
54137.07008 19.168 0.144
