SN2005M 0.022972 144.385 23.2008
filter uCSP3014
53438.13691 17.167 0.012
53444.15519 17.43 0.012
53445.153 17.495 0.012
53446.15492 17.558 0.013
53453.06684 17.985 0.029
53454.09393 17.984 0.019
53455.0648 18.063 0.021
53456.079 18.07 0.02
53457.08022 18.105 0.017
53458.06476 18.16 0.017
53459.05536 18.197 0.016
53460.05286 18.231 0.016
53464.0396 18.373 0.018
53465.0998 18.43 0.016
53466.09357 18.465 0.02
53472.03855 18.695 0.023
53474.01907 18.715 0.019
53476.00605 18.77 0.021
53478.04325 18.824 0.027
53479.03903 18.776 0.053
53479.99685 18.919 0.037
filter YCSP3014
53397.20395 16.697 0.013
53398.20613 16.627 0.018
53399.18601 16.611 0.075
53404.20995 16.581 0.014
53405.23741 16.529 0.073
53413.16822 17.167 0.117
53418.16875 17.239 0.021
53422.13321 17.174 0.042
53426.16586 16.87 0.015
53427.16553 16.828 0.013
53428.12107 16.78 0.025
53430.03877 16.632 0.091
53433.12071 16.618 0.021
53454.09393 16.931 0.012
53455.0648 16.977 0.012
53456.079 17.048 0.019
53461.14302 17.307 0.015
filter JCSP3014
53397.20395 16.605 0.015
53398.20613 16.591 0.014
53399.18601 16.379 0.059
53404.20995 16.457 0.011
53405.23741 16.354 0.049
53413.16822 17.331 0.123
53418.16875 17.745 0.032
53422.13321 17.889 0.029
53426.16586 17.797 0.022
53427.16553 17.743 0.019
53428.12107 17.563 0.016
53430.03877 17.685 0.162
53433.12071 17.709 0.018
53454.09393 18.322 0.018
53455.0648 18.357 0.061
53456.079 18.441 0.02
53461.14302 18.845 0.04
filter HCSP3014
53397.20395 16.73 0.021
53398.20613 16.727 0.011
53404.20995 16.713 0.009
53405.23741 16.751 0.096
53418.16875 17.132 0.017
53422.13321 16.95 0.031
53426.16586 16.926 0.014
53427.16553 16.928 0.011
53428.12107 16.87 0.024
53433.12071 16.85 0.014
53454.09393 17.562 0.017
53455.0648 17.573 0.069
53456.079 17.649 0.018
53462.05948 18.161 0.039
filter KCSP3014
53397.20395 16.396 0.049
53398.20613 16.43 0.031
53404.20995 16.41 0.022
53418.16875 16.541 0.042
53422.13321 16.5 0.052
53426.16586 16.623 0.029
53427.16553 16.629 0.026
53428.12107 16.554 0.01
53433.12071 16.652 0.026
53454.09393 17.578 0.039
53455.0648 17.624 0.04
53462.05948 17.963 0.058
