SN2008bc 0.015707 144.63 -63.9738
filter uCSP9844
54592.02443 17.542 0.009
54595.13681 17.685 0.007
54605.98527 17.954 0.014
54617.99654 18.295 0.012
54625.97257 18.465 0.012
54643.94839 18.91 0.02
54645.94565 18.897 0.018
filter gCSP9844
54539.30569 16.553 0.006
54540.07837 16.366 0.005
54541.16419 16.116 0.007
54542.04857 15.987 0.006
54543.08594 15.854 0.004
54545.17237 15.663 0.007
54547.08113 15.574 0.008
54548.06505 15.55 0.005
54549.0738 15.53 0.006
54551.17546 15.558 0.004
54552.17542 15.57 0.004
54558.04675 15.786 0.007
54560.09873 15.909 0.007
54562.09973 16.054 0.008
54564.09826 16.212 0.005
54566.11756 16.384 0.006
54568.09219 16.539 0.007
54569.20866 16.636 0.004
54570.04069 16.702 0.007
54571.02038 16.787 0.008
54573.04883 16.961 0.006
54574.11927 17.06 0.006
54575.09126 17.13 0.009
54576.04778 17.231 0.009
54582.06776 17.707 0.006
54589.05373 18.085 0.009
54592.02443 18.177 0.009
54595.13681 18.257 0.007
54605.98527 18.42 0.036
54617.99654 18.67 0.013
54625.97257 18.8 0.016
54643.94839 19.125 0.053
54645.94565 19.091 0.042
filter rCSP9844
54539.30569 16.426 0.005
54540.07837 16.241 0.009
54541.16419 16.018 0.008
54542.04857 15.898 0.008
54543.08594 15.772 0.007
54545.17237 15.597 0.008
54547.08113 15.518 0.01
54548.06505 15.466 0.005
54549.0738 15.452 0.007
54551.17546 15.427 0.005
54552.17542 15.435 0.005
54558.04675 15.663 0.009
54560.09873 15.829 0.009
54562.09973 15.974 0.01
54564.09826 16.111 0.007
54566.11756 16.188 0.008
54568.09219 16.224 0.008
54569.20866 16.246 0.005
54571.02038 16.257 0.009
54573.04883 16.267 0.005
54574.11927 16.296 0.006
54575.09126 16.282 0.01
54576.04778 16.32 0.008
54582.06776 16.565 0.006
54589.05373 17.024 0.007
54592.02443 17.149 0.008
54595.13681 17.286 0.009
54605.98527 17.678 0.067
54617.99654 18.047 0.013
54625.97257 18.314 0.016
54643.94839 18.855 0.031
54645.94565 18.833 0.025
filter iCSP9844
54539.30569 16.688 0.007
54540.07837 16.471 0.009
54541.16419 16.246 0.009
54542.04857 16.121 0.011
54543.08594 16.035 0.008
54545.17237 15.936 0.01
54547.08113 15.947 0.014
54548.06505 15.95 0.006
54549.0738 15.994 0.007
54551.17546 16.044 0.008
54552.17542 16.086 0.006
54558.04675 16.357 0.012
54560.09873 16.549 0.012
54562.09973 16.714 0.012
54564.09826 16.86 0.009
54566.11756 16.888 0.009
54568.09219 16.852 0.011
54569.20866 16.814 0.009
54571.02038 16.756 0.011
54573.04883 16.69 0.009
54574.11927 16.677 0.008
54575.09126 16.615 0.014
54576.04778 16.611 0.011
54582.06776 16.635 0.008
54589.05373 17.105 0.009
54592.02443 17.28 0.011
54595.13681 17.443 0.009
54605.98527 17.89 0.015
54617.99654 18.411 0.022
54625.97257 18.613 0.022
54643.94839 19.172 0.049
54645.94565 19.204 0.033
filter YCSP9844
54544.24594 15.808 0.035
54559.12201 16.752 0.012
54581.13216 15.713 0.008
54585.07148 15.729 0.007
54590.10984 16.023 0.01
54596.19633 16.388 0.034
54625.0159 17.861 0.033
filter JCSP9844
54543.08594 15.755 0.007
54544.24594 15.684 0.01
54548.06505 15.789 0.007
54553.14195 16.132 0.007
54554.18959 16.23 0.008
54559.12201 16.885 0.03
54581.13216 16.802 0.019
54585.07148 16.808 0.02
54590.10984 17.302 0.034
54596.19633 17.946 0.114
54607.07526 18.554 0.017
54625.0159 19.145 0.165
filter HCSP9844
54543.08594 15.92 0.017
54544.24594 15.888 0.039
54548.06505 15.998 0.018
54553.14195 16.192 0.017
54554.18959 16.252 0.018
54559.12201 16.454 0.028
54581.13216 16.02 0.028
54585.07148 16.249 0.027
54590.10984 16.473 0.034
54607.07526 17.337 0.021
54625.0159 17.904 0.162
