SN,Survey,snetype,Type,AB,AV,AR,AI,sdssr,sdssi,RAX,DECX,Zcmb
SN2005lu,CSP,main,Ia,0.093,0.070,0.055,0.038,0.058,0.043,02h36m03.7s,-17d28m52.06s,0.032
SN2005M,CSP,main,Ia,0.113,0.086,0.068,0.047,0.071,0.053,09h37m32.3s,+23d25m33.74s,0.022
SN2005mc,CSP,main,Ia,0.158,0.120,0.095,0.066,0.100,0.074,08h27m06.3s,+21d48m40.44s,0.0252
SN2005na,CSP,main,Ia,0.282,0.213,0.169,0.117,0.178,0.132,07h01m36.6s,+14d12m19.89s,0.0263
SN2005W,CSP,main,Ia,0.259,0.196,0.155,0.108,0.163,0.121,01h50m45.7s,+21d30m45.46s,0.0089
SN2006ax,CSP,main,Ia,0.182,0.138,0.109,0.076,0.115,0.085,11h24m03.4s,-12d01m00.09s,0.0167
SN2006bd,CSP,main,Ia,0.100,0.076,0.060,0.042,0.063,0.047,11h38m28.4s,+20d48m11.55s,0.0257
SN2006bh,CSP,main,Ia,0.096,0.073,0.058,0.040,0.061,0.045,22h40m16.1s,-66d44m46.27s,0.0109
SN2006br,CSP,main,Ia,0.089,0.067,0.053,0.037,0.056,0.042,13h30m01.8s,+13d40m24.66s,0.0246
SN2006bt,CSP,main,Ia,0.182,0.137,0.109,0.075,0.114,0.085,15h56m30.5s,+20d11m23.93s,0.0322
SN2006dd,CSP,main,II,0.076,0.057,0.045,0.031,0.048,0.035,03h22m41.6s,-37d22m51.61s,0.0059
SN2006ef,CSP,main,Ia,0.086,0.065,0.052,0.036,0.054,0.040,02h04m19.5s,-08d58m03.43s,0.0179
SN2006ej,CSP,main,Ia,0.127,0.096,0.076,0.053,0.080,0.060,00h38m59.8s,-09d17m25.39s,0.0205
SN2006eq,CSP,main,Ia,0.174,0.131,0.104,0.072,0.110,0.081,21h28m37.1s,+01d00m33.20s,0.0495
SN2006et,CSP,main,Ia,0.070,0.053,0.042,0.029,0.044,0.033,00h42m45.8s,-23d49m56.39s,0.0226
SN2006ev,CSP,main,Ia,0.327,0.247,0.195,0.136,0.206,0.153,21h30m59.2s,+13d46m06.66s,0.0287
SN2006fw,CSP,main,Ia,0.119,0.090,0.071,0.049,0.075,0.056,01h47m10.3s,-00d23m46.36s,0.0835
SN2006gj,CSP,main,Ia,0.306,0.231,0.183,0.127,0.193,0.143,03h17m35.8s,-01d52m26.68s,0.0284
SN2006gt,CSP,main,Ia,0.135,0.102,0.081,0.056,0.085,0.063,00h56m17.3s,-01d53m59.53s,0.0448
SN2006hb,CSP,main,Ia,0.099,0.075,0.059,0.041,0.062,0.046,05h02m01.3s,-21d12m10.58s,0.0153
