Filter,MJD,Mag,Sigma,Code
r,53264.22499,16.270479371598558,0.011,CSP3014
r,53265.26678,16.353887161672326,0.007,CSP3014
r,53266.21198,16.414070418548512,0.004,CSP3014
r,53267.22001,16.49005718665136,0.006,CSP3014
r,53268.22471,16.50103830381994,0.008,CSP3014
r,53271.27227,16.65616552369611,0.007,CSP3014
r,53272.25135,16.708687861485785,0.009,CSP3014
r,53273.2777,16.756906716046345,0.008,CSP3014
r,53274.19874,16.804636378159948,0.007,CSP3014
r,53275.21882,16.863702904334236,0.008,CSP3014
r,53276.22678,16.896832894440934,0.007,CSP3014
r,53277.16295,16.90509242004712,0.013,CSP3014
r,53279.18153,16.97521052785195,0.01,CSP3014
r,53280.19347,17.008162144082092,0.009,CSP3014
r,53281.20693,17.057559636826255,0.009,CSP3014
r,53282.17868,17.083272999698977,0.009,CSP3014
r,53284.30732,17.189352723113146,0.005,CSP3014
r,53287.16703,17.233268006528366,0.007,CSP3014
r,53289.23863,17.31386297527206,0.009,CSP3014
r,53291.1723,17.368751249192854,0.007,CSP3014
r,53293.20307,17.431747093494444,0.005,CSP3014
r,53294.26838,17.47495192404815,0.005,CSP3014
r,53295.22655,17.47076810363592,0.009,CSP3014
r,53299.16248,17.57857781054964,0.012,CSP3014
r,53323.2136,18.216,0.009,CSP3014
r,53324.16089,18.245,0.01,CSP3014
r,53329.16508,18.336,0.01,CSP3014
r,53331.09552,18.46,0.012,CSP3014
r,53341.07471,18.838,0.012,CSP3014
r,53345.10192,18.865,0.016,CSP3014
r,53349.07786,18.992,0.017,CSP3014
r,53365.09524,19.476,0.027,CSP3014
B,53249.26997,15.798213818686445,0.006,CSP3014
B,53250.29201,15.875773641922898,0.008,CSP3014
B,53251.31405,15.97324079419504,0.009,CSP3014
B,53252.34789,16.067043915048924,0.006,CSP3014
B,53253.26951,16.167463408241414,0.013,CSP3014
B,53256.22375,16.573512925495862,0.006,CSP3014
B,53257.21014,16.706292250653995,0.008,CSP3014
B,53258.24234,16.851206020886558,0.007,CSP3014
B,53259.25928,16.991793911622544,0.006,CSP3014
B,53260.28264,17.12564304199399,0.008,CSP3014
B,53261.19531,17.220059622577324,0.013,CSP3014
B,53262.19022,17.377487647134615,0.009,CSP3014
B,53263.24848,17.507411762270387,0.014,CSP3014
B,53264.22499,17.6003384742604,0.015,CSP3014
B,53265.26678,17.699628644213085,0.014,CSP3014
B,53266.21198,17.78938395474253,0.009,CSP3014
B,53267.22001,17.85126962147957,0.012,CSP3014
B,53268.22471,17.89282346065443,0.009,CSP3014
B,53269.17606,17.9465263478848,0.017,CSP3014
B,53270.18012,17.988423481123178,0.011,CSP3014
B,53271.27227,18.02650802441347,0.011,CSP3014
B,53272.25135,18.064225024528326,0.012,CSP3014
B,53273.2777,18.105470409514552,0.012,CSP3014
B,53274.19874,18.121572967304754,0.016,CSP3014
B,53275.21882,18.143674575896796,0.022,CSP3014
B,53276.22678,18.16436066329483,0.026,CSP3014
B,53277.16295,18.176680205818748,0.031,CSP3014
B,53279.18153,18.208323929109056,0.019,CSP3014
B,53280.19347,18.210514429862485,0.016,CSP3014
B,53281.20693,18.26835585663546,0.016,CSP3014
B,53284.30732,18.307611800327287,0.013,CSP3014
B,53287.16703,18.325920725458534,0.009,CSP3014
B,53289.23863,18.355054712173835,0.01,CSP3014
B,53291.1723,18.367673858237538,0.01,CSP3014
B,53293.20307,18.354216412011297,0.026,CSP3014
B,53294.26838,18.434472066457925,0.01,CSP3014
B,53295.22655,18.437633420526723,0.01,CSP3014
B,53299.16248,18.479812565014573,0.012,CSP3014
B,53324.16089,18.773,0.01,CSP3014
B,53329.16508,18.845,0.015,CSP3014
B,53331.09552,18.87,0.02,CSP3014
B,53341.07471,19.023,0.013,CSP3014
B,53345.10192,19.115,0.014,CSP3014
B,53349.07786,19.141,0.012,CSP3014
B,53365.09524,19.434,0.035,CSP3014
i,53249.26997,16.015489765872594,0.006,CSP3014
i,53250.29201,16.05101923774769,0.009,CSP3014
i,53251.31405,16.036536378835393,0.009,CSP3014
i,53252.34789,15.960818271553237,0.007,CSP3014
i,53256.22375,15.898632308496527,0.007,CSP3014
i,53257.21014,15.925370857386362,0.011,CSP3014
i,53258.24234,15.912080718738485,0.007,CSP3014
i,53259.25928,15.904223680800833,0.005,CSP3014
i,53260.28264,15.907676515600519,0.009,CSP3014
i,53261.19531,15.903090025968192,0.009,CSP3014
i,53262.19022,15.943656170977901,0.009,CSP3014
i,53263.24848,16.009009662511342,0.014,CSP3014
i,53264.22499,16.04788934233777,0.014,CSP3014
i,53265.26678,16.076334264941988,0.008,CSP3014
i,53266.21198,16.144989011244952,0.005,CSP3014
i,53267.22001,16.199203572792264,0.009,CSP3014
i,53268.22471,16.241124509346914,0.01,CSP3014
i,53271.27227,16.435608930142635,0.009,CSP3014
i,53272.25135,16.467528881113736,0.008,CSP3014
i,53273.2777,16.52402803052709,0.009,CSP3014
i,53274.19874,16.572145081095684,0.008,CSP3014
